Google Common_x,Test_x,SO_x,IO_x,UI_x,Network_x,Security_x,OpenOffice Documents_x,Database_x,PDF_x,Logging_x,Latex_x,#cols,issue,prNumber,Google Common_y,Test_y,SO_y,IO_y,UI_y,Network_y,Security_y,OpenOffice Documents_y,Database_y,PDF_y,Logging_y,Latex_y
0,0,0,0,0,1,0,0,0,0,1,0,2,,3718,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3690,0,1,0,1,1,1,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,2,,3665,1,1,0,1,0,1,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,1,0,3,,3578,0,0,0,1,1,0,0,0,1,0,1,0
0,0,0,0,1,1,0,0,0,0,0,0,2,,3512,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3509,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,,3502,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,,3497,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3459,0,0,0,1,1,0,0,0,0,0,1,0
0,1,0,1,1,0,0,0,0,0,1,0,4,,3444,0,1,0,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,2,,3443,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,1,0,4,,3438,1,0,1,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,,3405,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0,0,3,,3364,0,0,0,1,1,1,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,,3210,0,0,0,1,1,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,1,,3209,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,2,,3202,1,1,0,1,1,1,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,3182,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,3105,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3097,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,2,,3095,1,1,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3092,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,2972,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,2,,2957,1,1,0,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0,2,,2923,1,0,1,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,2875,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,2,,2862,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,2826,0,0,0,1,0,1,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,,2727,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0,6,628,2703,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,1,0,4,,2645,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,,2644,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,2634,0,1,0,1,1,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,1,0,4,,2625,0,0,1,1,1,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,1,,2610,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,,2558,0,1,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,1,0,4,,2531,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,,2521,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,0,0,1,0,6,2319,2416,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,1,1,1,0,0,0,0,1,0,6,2370,2372,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0,3,,2361,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,0,3,,2361,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0,3,,2331,1,0,0,1,1,1,0,0,0,0,1,0
1,1,0,1,0,0,0,0,0,0,1,0,4,,2300,1,0,0,1,0,0,0,0,1,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,3,,2262,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,1,,2161,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,2129,1,0,0,1,1,0,0,0,0,0,1,0
1,0,1,1,1,0,0,0,0,0,1,0,5,,2091,1,0,1,1,1,0,0,0,0,0,1,0
1,0,0,1,1,1,0,0,0,0,1,0,5,,2082,0,0,0,1,0,1,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,,2070,0,0,0,1,1,1,0,0,1,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,2067,0,0,0,1,1,0,0,0,0,0,1,0
1,0,1,1,1,0,0,0,0,0,1,0,5,,2043,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,2034,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,,2027,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,,1981,0,0,0,1,1,1,0,0,0,0,1,0
1,1,1,1,1,0,0,0,0,0,1,0,6,,1950,0,1,0,1,0,1,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,1,0,4,,1950,0,1,0,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,,1906,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0,0,1,0,4,,1755,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,1734,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,0,3,,1584,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,,1581,1,1,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,1563,1,0,1,1,1,0,1,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,1355,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,1,0,5,,1350,0,1,0,1,0,1,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,1318,0,1,0,1,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,1310,1,0,0,1,1,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,1278,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,,1217,1,1,1,1,1,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,0,2,,1217,1,1,1,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,,1207,1,1,0,1,0,1,0,0,0,0,1,0
